rank,disease_name,total_images,train_images,test_images,train_percentage,test_percentage
1,Psoriasis pictures Lichen Planus and related diseases,1757,1405,352,79.96585088218553,20.034149117814458
2,Seborrheic Keratoses and other Benign Tumors,1714,1371,343,79.98833138856476,20.01166861143524
3,Tinea Ringworm Candidiasis and other Fungal Infections,1625,1300,325,80.0,20.0
4,Eczema Photos,1544,1235,309,79.98704663212435,20.012953367875646
5,Actinic Keratosis Basal Cell Carcinoma and other Malignant Lesions,1437,1149,288,79.95824634655533,20.041753653444676
6,Warts Molluscum and other Viral Infections,1358,1086,272,79.97054491899853,20.029455081001473
7,Nail Fungus and other Nail Disease,1301,1040,261,79.93850883935434,20.061491160645655
8,Acne and Rosacea Photos,1152,840,312,72.91666666666666,27.083333333333332
9,Systemic Disease,758,606,152,79.94722955145119,20.052770448548813
10,Light Diseases and Disorders of Pigmentation,711,568,143,79.88748241912799,20.112517580872012
11,Atopic Dermatitis Photos,612,489,123,79.90196078431373,20.098039215686274
12,Vascular Tumors,603,482,121,79.93366500829188,20.066334991708125
13,Melanoma Skin Cancer Nevi and Moles,579,463,116,79.96545768566494,20.03454231433506
14,Bullous Disease Photos,561,448,113,79.85739750445633,20.14260249554367
15,Scabies Lyme Disease and other Infestations and Bites,539,431,108,79.96289424860854,20.037105751391465
16,Lupus and other Connective Tissue diseases,525,420,105,80.0,20.0
17,Vasculitis Photos,521,416,105,79.84644913627639,20.153550863723606
18,Herpes HPV and other STDs Photos,507,405,102,79.88165680473372,20.118343195266274
19,Exanthems and Drug Eruptions,505,404,101,80.0,20.0
20,Cellulitis Impetigo and other Bacterial Infections,361,288,73,79.77839335180056,20.221606648199447
21,Poison Ivy Photos and other Contact Dermatitis,325,260,65,80.0,20.0
22,Hair Loss Photos Alopecia and other Hair Diseases,299,239,60,79.93311036789298,20.066889632107024
23,Urticaria Hives,265,212,53,80.0,20.0
