image_path,disease,dataset,split
data/ddidiversedermatologyimages/000001.png,melanoma-in-situ,ddi,train
data/ddidiversedermatologyimages/000002.png,melanoma-in-situ,ddi,train
data/ddidiversedermatologyimages/000003.png,mycosis-fungoides,ddi,train
data/ddidiversedermatologyimages/000004.png,squamous-cell-carcinoma-in-situ,ddi,train
data/ddidiversedermatologyimages/000005.png,basal-cell-carcinoma,ddi,train
data/ddidiversedermatologyimages/000006.png,squamous-cell-carcinoma,ddi,train
data/ddidiversedermatologyimages/000007.png,melanoma-acral-lentiginous,ddi,train
data/ddidiversedermatologyimages/000008.png,melanoma-in-situ,ddi,train
data/ddidiversedermatologyimages/000009.png,melanoma-acral-lentiginous,ddi,train
data/ddidiversedermatologyimages/000010.png,basal-cell-carcinoma-superficial,ddi,train
data/ddidiversedermatologyimages/000011.png,squamous-cell-carcinoma,ddi,train
data/ddidiversedermatologyimages/000012.png,squamous-cell-carcinoma-keratoacanthoma,ddi,train
data/ddidiversedermatologyimages/000013.png,melanoma-acral-lentiginous,ddi,train
data/ddidiversedermatologyimages/000014.png,squamous-cell-carcinoma,ddi,train
data/ddidiversedermatologyimages/000015.png,squamous-cell-carcinoma,ddi,train
data/ddidiversedermatologyimages/000016.png,mycosis-fungoides,ddi,train
data/ddidiversedermatologyimages/000017.png,mycosis-fungoides,ddi,train
data/ddidiversedermatologyimages/000018.png,mycosis-fungoides,ddi,train
data/ddidiversedermatologyimages/000019.png,mycosis-fungoides,ddi,train
data/ddidiversedermatologyimages/000020.png,mycosis-fungoides,ddi,train
data/ddidiversedermatologyimages/000021.png,mycosis-fungoides,ddi,train
data/ddidiversedermatologyimages/000022.png,mycosis-fungoides,ddi,train
data/ddidiversedermatologyimages/000023.png,mycosis-fungoides,ddi,train
data/ddidiversedermatologyimages/000024.png,mycosis-fungoides,ddi,train
data/ddidiversedermatologyimages/000025.png,subcutaneous-t-cell-lymphoma,ddi,train
data/ddidiversedermatologyimages/000026.png,mycosis-fungoides,ddi,train
